Username	Machine	Creation_date
bsru	ARC3	2018-05-09 08:07:59.0
bsru	MARC1	2018-06-12 08:27:03.0
bssdr	ARC1	2014-12-18 12:43:36.44
bssdr	ARC2	2014-12-18 12:43:42.917
bssjd	ARC1	2015-02-17 08:32:44.593
bssjd	ARC2	2015-02-17 08:32:51.143
bssjd	ARC3	2017-03-21 17:35:38.033
bssjh	ARC2	2018-08-21 11:05:55.0
bssjh	ARC3	2018-08-21 11:05:59.0
bssk	ARC1	2010-02-24 13:52:48.273
bssst	ARC1	2011-10-25 12:41:35.0
bssw	ARC2	2017-02-07 16:54:27.687
bstal	ARC2	2017-02-22 14:27:51.07
bstk	ARC1	2010-11-16 13:51:19.6
bstk	ARC2	2014-03-18 12:41:37.913
busachoa	ARC2	2017-11-27 15:18:53.757
busachoa	ARC3	2017-11-27 15:18:57.257
busajddr	ARC1	2013-11-22 17:05:28.743
bused	ARC1	2012-10-19 14:03:05.0
bused	ARC2	2014-01-08 17:00:49.0
buseko	ARC2	2018-04-25 14:07:55.0
buseko	ARC3	2018-04-25 14:07:58.0
busfi	ARC2	2018-07-13 08:11:19.0
busfi	ARC3	2018-07-13 08:11:23.0
bushw	ARC1	2011-02-14 14:32:50.233
buskc	ARC1	2012-05-02 10:25:32.0
buskc	ARC2	2016-01-04 13:00:17.14
buskc	ARC3	2017-05-02 11:42:49.0
busmali	ARC1	2015-06-04 07:51:51.0
busmali	ARC2	2015-06-04 07:51:55.0
busmca	ARC1	2015-09-17 13:19:13.0
busmca	ARC2	2015-09-17 13:19:16.0
busqzh	ARC1	2012-05-31 14:25:45.0
busreho	ARC1	2016-04-18 12:20:07.0
busreho	ARC2	2016-04-18 12:20:16.0
busreho	ARC3	2017-03-20 16:32:41.453
bustki	ARC1	2014-04-01 09:44:27.0
busxc	ARC1	2010-10-22 13:38:05.0
busych	ARC1	2012-09-10 09:11:05.0
cen4dos	ARC1	2013-09-12 14:25:29.0
cen4dos	ARC2	2016-01-04 16:51:47.523
cen5s2k	ARC1	2014-06-04 10:04:47.0
cen5s2k	ARC2	2014-06-04 10:51:28.0
cen6aa	ARC1	2011-12-14 11:16:28.733
