Username	Machine	Username_status	lapse_date	status	Dept	Faculty
tstsn	ARC2	a	n/a	P/G	TRA	Faculty of Environment
tstsn	ARC3	a	n/a	P/G	TRA	Faculty of Environment
uitap	ARC2	d	2015-08-17 16:08:52.0	Staff	UIT	Corporate Services
uitap	ARC1	d	2015-08-17 16:08:52.0	Staff	UIT	Corporate Services
uitarc	MARC1	a	n/a	Project	UIT	Corporate Services
uitjc	ARC2	d	2016-11-15 12:06:07.207	Staff	SCS	Faculty of Engineering
uitjc	MARC1	l	2016-11-15 12:06:07.29	Staff	SCS	Faculty of Engineering
uitjc	ARC1	d	2016-11-15 12:06:07.18	Staff	SCS	Faculty of Engineering
uitjr	MARC1	l	2016-11-15 12:06:07.563	Staff	UIT	Corporate Services
uitjr	ARC2	d	2016-11-15 12:06:07.493	Staff	UIT	Corporate Services
uitjr	ARC1	d	2016-11-15 12:06:07.453	Staff	UIT	Corporate Services
uitkc	ARC2	l	2015-10-15 10:09:18.0	Staff	SCS	Faculty of Engineering
uitkc	ARC1	l	2015-10-15 10:09:18.0	Staff	SCS	Faculty of Engineering
uitmc	ARC3	a	n/a	Staff	UIT	Corporate Services
uitmc	ARC2	a	n/a	Staff	UIT	Corporate Services
uittd	MARC1	a	n/a	Staff	UIT	Corporate Services
um07kms	ARC2	d	2015-07-14 00:00:00.0	Recent Alumni	UGM	Faculty of Medicine & Health
um07kms	ARC1	d	2015-07-14 00:00:00.0	Recent Alumni	UGM	Faculty of Medicine & Health
um11itrj	ARC1	d	2017-06-16 14:58:31.0	Recent Alumni	UGM	Faculty of Medicine & Health
um11itrj	ARC2	d	2017-08-29 00:00:00.0	Recent Alumni	UGM	Faculty of Medicine & Health
um16vsm	MARC1	l	2017-12-19 00:00:00.0	Recent Alumni	UGM	Faculty of Medicine & Health
umaan	MARC1	a	n/a	P/G	MRP	Faculty of Medicine & Health
umajs	MARC1	a	n/a	P/G	MRP	Faculty of Medicine & Health
umbch	MARC1	a	n/a	P/G	MRP	Faculty of Medicine & Health
umcch	MARC1	a	n/a	P/G	MRP	Faculty of Medicine & Health
umdam	ARC1	d	2013-08-08 00:00:00.0	Alumni	MRP	Faculty of Medicine & Health
umdde	ARC2	a	n/a	P/G	MRP	Faculty of Medicine & Health
umdde	ARC3	a	n/a	P/G	MRP	Faculty of Medicine & Health
umdde	MARC1	a	n/a	P/G	MRP	Faculty of Medicine & Health
umdde	ARC1	l	2017-06-16 14:58:31.0	P/G	MRP	Faculty of Medicine & Health
umdj	MARC1	a	n/a	P/G	MRP	Faculty of Medicine & Health
umdj	ARC1	l	2017-06-16 14:58:31.0	P/G	MRP	Faculty of Medicine & Health
umdsp	ARC3	a	n/a	P/G	MRP	Faculty of Medicine & Health
umdsp	MARC1	a	n/a	P/G	MRP	Faculty of Medicine & Health
umjjv	MARC1	a	n/a	P/G	MRP	Faculty of Medicine & Health
umjsm	ARC1	d	2013-09-19 00:00:00.0	Recent Alumni	MRP	Faculty of Medicine & Health
umlch	MARC1	a	n/a	P/G	MRP	Faculty of Medicine & Health
umlma	MARC1	a	n/a	P/G	MRP	Faculty of Medicine & Health
umlwl	MARC1	a	n/a	P/G	MRP	Faculty of Medicine & Health
umlwl	ARC2	a	n/a	P/G	MRP	Faculty of Medicine & Health
umlwl	ARC1	l	2017-06-16 14:58:31.0	P/G	MRP	Faculty of Medicine & Health
ummcb	MARC1	a	n/a	P/G	MRP	Faculty of Medicine & Health
umme	MARC1	a	n/a	P/G	MRP	Faculty of Medicine & Health
ummio	MARC1	a	n/a	P/G	MRP	Faculty of Medicine & Health
ummio	ARC2	a	n/a	P/G	MRP	Faculty of Medicine & Health
ummio	ARC1	l	2017-06-16 14:58:31.0	P/G	MRP	Faculty of Medicine & Health
ummwa	MARC1	a	n/a	P/G	MRP	Faculty of Medicine & Health
ummwa	ARC2	a	n/a	P/G	MRP	Faculty of Medicine & Health
ummwa	ARC1	l	2017-06-16 14:58:31.0	P/G	MRP	Faculty of Medicine & Health
umnar	MARC1	a	n/a	P/G	MRP	Faculty of Medicine & Health
